Procedure;Image;Calls;Instructions
handler::multi_range_read_info_const(unsigned int, st_range_seq_if*, void*, unsigned int, unsigned int*, unsigned int*, Cost_estimate*);mysqld;4375;475000
Item_param::reset();mysqld;16250;471250
st_select_lex_unit::cleanup();mysqld;12322;468236
set_dynamic;mysqld;14600;467648
asio::detail::reactive_socket_send_op_base<asio::detail::consuming_buffers<asio::const_buffer, std::tr1::array<asio::const_buffer, 2ul> > >::do_perform(asio::detail::reactor_op*);libgalera_smm.so;3594;467178
strnmov;mysqld;3348;465192
setup_tables_and_check_access(THD*, Name_resolution_context*, List<TABLE_LIST>*, TABLE_LIST*, List<TABLE_LIST>&, bool, unsigned long, unsigned long, bool);mysqld;11067;464786
Explain_query::Explain_query(THD*, st_mem_root*);mysqld;11058;464436
my_net_read_packet_reallen;mysqld;12550;464350
lf_dynarray_lvalue;mysqld;14498;464048
Query_cache::double_linked_list_exclude(Query_cache_block*, Query_cache_block**);mysqld;51480;460706
cleanup_items(Item*);mysqld;11886;459789
st_select_lex::handle_derived(LEX*, unsigned int);mysqld;19826;455966
gcomm::GMCast::handle_up(void const*, gcomm::Datagram const&, gcomm::ProtoUpMeta const&);libgalera_smm.so;3381;454172
vio_timeout;mysqld;25128;452332
